session,date,month,day,year,title,keywords,kw_1,kw_2,kw_3,kw_4,kw_5,kw_6,kw_7,kw_8,kw_9,kw_10
119.0,"July 29, 2025",7.0,29,2025,PERSPECTIVES ON REAUTHORIZATION OF THE  U.S. GRAIN STANDARDS ACT,agriculture nutrition; forests act; farm bureau; nutrition forestry; USDA; 2025 statements; grain; tribal consultation; american farmers; advance appropriations,agriculture nutrition,forests act,farm bureau,nutrition forestry,USDA,2025 statements,grain,tribal consultation,american farmers,advance appropriations
119.0,"July 23, 2025",7.0,23,2025,NOMINATION OF RICHARD FORDYCE TO BE  UNDER SECRETARY OF AGRICULTURE FOR  FARM PRODUCTION AND CONSERVATION,secretary agriculture; conservation programs; farm bureau; nutrition forestry; hrg 119; washington 2025; nomination; tribal consultation; agriculture nutrition; mr fordyce,secretary agriculture,conservation programs,farm bureau,nutrition forestry,hrg 119,washington 2025,nomination,tribal consultation,agriculture nutrition,mr fordyce
119.0,"July 15, 2025",7.0,15,2025,STAKEHOLDER PERSPECTIVES ON FEDERAL  OVERSIGHT OF DIGITAL COMMODITIES,farm bureau; nutrition forestry; advance appropriations; regulatory; tribal consultation; secretary agriculture; forests act; commodity; conservation programs; stakeholders,farm bureau,nutrition forestry,advance appropriations,regulatory,tribal consultation,secretary agriculture,forests act,commodity,conservation programs,stakeholders
119.0,"June 10, 2025",6.0,10,2025,"NOMINATION OF THE HONORABLE BRIAN  QUINTENZ, TO BE CHAIRMAN AND A COMMIS- SIONER OF THE COMMODITY FUTURES TRAD- ING COMMISSION",secretary agriculture; nutrition forestry; 2025 statements; farm bureau; Natural Gas; advance appropriations; iowa; nomination; tribal consultation; usda,secretary agriculture,nutrition forestry,2025 statements,farm bureau,Natural Gas,advance appropriations,iowa,nomination,tribal consultation,usda
119.0,"June 3, 2025",6.0,3,2025,NOMINATION OF MICHAEL BOREN TO BE UNDER SECRETARY OF AGRICULTURE FOR  NATURAL RESOURCES AND ENVIRONMENT,secretary agriculture; nutrition forestry; farm bureau; 2025 statements; adam schiff; Natural Gas; agriculture nutrition; conservation programs; south dakota; nomination,secretary agriculture,nutrition forestry,farm bureau,2025 statements,adam schiff,Natural Gas,agriculture nutrition,conservation programs,south dakota,nomination
119.0,"May 21, 2025",5.0,21,2025,"NOMINATIONS OF DUDLEY HOSKINS TO BE  UNDER SECRETARY OF AGRICULTURE FOR  MARKETING AND REGULATORY PROGRAMS  AND DR. SCOTT HUTCHINS, TO BE UNDER  SECRETARY OF AGRICULTURE FOR RESEARCH,  EDUCATION, AND ECONOMICS",secretary agriculture; nutrition forestry; hrg 119; farm bureau; 2025 statements; nomination; regulatory; agriculture nutrition; adam schiff; USDA,secretary agriculture,nutrition forestry,hrg 119,farm bureau,2025 statements,nomination,regulatory,agriculture nutrition,adam schiff,USDA
119.0,"May 13, 2025",5.0,13,2025,"PERSPECTIVES FROM THE FIELD,",farm bureau; nutrition forestry; conservation programs; tribal consultation; forests act; secretary agriculture; south dakota; 2025 statements; regulatory; american farmers,farm bureau,nutrition forestry,conservation programs,tribal consultation,forests act,secretary agriculture,south dakota,2025 statements,regulatory,american farmers
119.0,"May 6, 2025",5.0,6,2025,"LEGISLATIVE HEARING TO REVIEW S. 1462, FIX OUR FORESTS ACT",forests act; agriculture nutrition; 2025 statements; iowa; farm bureau; tribal consultation; legislative; nutrition forestry; conservation programs; adam schiff,forests act,agriculture nutrition,2025 statements,iowa,farm bureau,tribal consultation,legislative,nutrition forestry,conservation programs,adam schiff
119.0,"April 29, 2025",4.0,29,2025,NOMINATIONS OF LUKE LINDBERG TO BE UNDER  SECRETARY OF AGRICULTURE FOR TRADE AND  FOREIGN AGRICULTURAL AFFAIRS AND DEVON  WESTHILL TO BE ASSISTANT SECRETARY OF  AGRICULTURE FOR CIVIL RIGHTS,secretary agriculture; nutrition forestry; farm bureau; nomination; south dakota; agriculture nutrition; hrsa; 2025 statements; USDA; tribal leaders,secretary agriculture,nutrition forestry,farm bureau,nomination,south dakota,agriculture nutrition,hrsa,2025 statements,USDA,tribal leaders
119.0,"April 8, 2025",4.0,8,2025,S. HRG. 119-49,secretary agriculture; hrg 119; nutrition forestry; nomination; general counsel; farm bureau; ag; adam schiff; agriculture nutrition; biden administration,secretary agriculture,hrg 119,nutrition forestry,nomination,general counsel,farm bureau,ag,adam schiff,agriculture nutrition,biden administration
119.0,"April 1, 2025",4.0,1,2025,"LEGISLATIVE HEARING TO REVIEW S. 222, THE WHOLE MILK FOR HEALTHY KIDS ACT, AND IMPROVING CHILDREN'S HEALTH",agriculture nutrition; forests act; 2025 statements; health board; farm bureau; tribal consultation; dairy; regulatory; south dakota; funded schools,agriculture nutrition,forests act,2025 statements,health board,farm bureau,tribal consultation,dairy,regulatory,south dakota,funded schools
119.0,"March 11, 2025",3.0,11,2025,"RISK MANAGEMENT, CREDIT, AND RURAL BUSINESS VIEWS ON THE AGRICULTURAL ECONOMY, PART 3",agriculture nutrition; forests act; farm bureau; 2025 statements; crop insurance; american farmers; USDA; nutrition forestry; tribal consultation; advance appropriations,agriculture nutrition,forests act,farm bureau,2025 statements,crop insurance,american farmers,USDA,nutrition forestry,tribal consultation,advance appropriations
119.0,"March 6, 2025",3.0,6,2025,"TO REVIEW H.R. 471, THE FIX OUR FORESTS  ACT, AND OPTIONS TO REDUCE CATA- STROPHIC WILDFIRE",nutrition forestry; forests act; farm bureau; conservation programs; regulatory; tribal consultation; south dakota; Tax Cuts; USDA; Natural Gas,nutrition forestry,forests act,farm bureau,conservation programs,regulatory,tribal consultation,south dakota,Tax Cuts,USDA,Natural Gas
119.0,"February 26, 2025",2.0,26,2025,"FARMER AND RANCHER VIEWS ON THE  AGRICULTURAL ECONOMY, PART 2",agriculture nutrition; farm bureau; american farmers; secretary agriculture; forests act; nutrition forestry; 2025 statements; tribal consultation; crop insurance; USDA,agriculture nutrition,farm bureau,american farmers,secretary agriculture,forests act,nutrition forestry,2025 statements,tribal consultation,crop insurance,USDA
119.0,"February 5, 2025",2.0,5,2025,"FARMER AND RANCHER VIEWS ON THE AGRICULTURAL ECONOMY, PART 1",agriculture nutrition; farm bureau; 2025 statements; USDA; nutrition forestry; american farmers; tribal consultation; advance appropriations; forests act; south dakota,agriculture nutrition,farm bureau,2025 statements,USDA,nutrition forestry,american farmers,tribal consultation,advance appropriations,forests act,south dakota
119.0,"January 23, 2025",1.0,23,2025,NOMINATION OF BROOKE ROLLINS TO BE SECRETARY OF AGRICULTURE,secretary agriculture; nutrition forestry; washington 2025; farm bureau; nomination; agriculture nutrition; tribal consultation; south dakota; hrsa; adam schiff,secretary agriculture,nutrition forestry,washington 2025,farm bureau,nomination,agriculture nutrition,tribal consultation,south dakota,hrsa,adam schiff
119.0,"September 30, 2025",9.0,30,2025,DEFENSE OF THE DEPARTMENT OF DEFENSE  INFORMATION NETWORK,department defense; armed services; adam schiff; pursuant notice; national security; american legion; tribal consultation; pact act; advance appropriations; documented,department defense,armed services,adam schiff,pursuant notice,national security,american legion,tribal consultation,pact act,advance appropriations,documented
119.0,"April 9, 2025",4.0,9,2025,DEPARTMENT OF DEFENSE RESPONSIBILITIES  RELATED TO FOREIGN MILITARY SALES  SYSTEM AND INTERNATIONAL ARMAMENTS  COOPERATION,armed services; department defense; pursuant notice; military sales; american legion; advance appropriations; active duty; joint staff; pact act; national guard,armed services,department defense,pursuant notice,military sales,american legion,advance appropriations,active duty,joint staff,pact act,national guard
119.0,"March 17, 2025",3.0,17,2025,THE STATUS OF MILITARY SERVICE ACADEMIES,armed services; american legion; department veterans; readiness; enrolled; mobilization; national guard; joint staff; active duty; willingness serve,armed services,american legion,department veterans,readiness,enrolled,mobilization,national guard,joint staff,active duty,willingness serve
119.0,"September 24, 2024",9.0,24,2024,THE STATE OF CONVENTIONAL SURFACE  SHIPBUILDING,shipbuilding; armed services; pursuant notice; idaho; coast guard; va employees; advance appropriations; pact act; farm bureau; roger wicker,shipbuilding,armed services,pursuant notice,idaho,coast guard,va employees,advance appropriations,pact act,farm bureau,roger wicker
119.0,na,,na,na,HARNESSING ARTIFICIAL INTELLIGENCE CYBER  CAPABILITIES,national security; ai infrastructure; adam schiff; south dakota; task force; american legion; armed services; cybersecurity; 2025 statements; advance appropriations,national security,ai infrastructure,adam schiff,south dakota,task force,american legion,armed services,cybersecurity,2025 statements,advance appropriations
